Flop,IP EV 1/3,IP EV,EV loss (% pot),OOP Equity,IP Equity,Flop suit,Flop type,Paired,High card paired,% nut hands (OOP),% draws (OOP),%straight flush (OOP),%quads (OOP),%fullhouse (OOP),%flush (OOP),%straight (OOP),%set (OOP),%trips (OOP),%two pair (OOP),%overpair (OOP),%top pair (OOP),%middle pair (OOP),%bottom pair (OOP),%underpair (OOP),%low pair (OOP),%A high (OOP),%K high (OOP),%combo draw (OOP),%flush draw (OOP),%OESD (OOP),%gutshot (OOP),%nothing (OOP),%nut hands (IP),%draws (IP),%straight flush (IP),%quads (IP),%fullhouse (IP),%flush (IP),%straight (IP),%set (IP),%trips (IP),%two pair (IP),%overpair (IP),%top pair (IP),%middle pair (IP),%bottom pair (IP),%underpair (IP),%low pair (IP),%A high (IP),%K high (IP),%combo draw (IP),%flush draw (IP),%OESD (IP),%gutshot (IP),%nothing (IP)
Kc 7d 3s,32.4897,32.5327,0.000781818,46.15,53.85,r,1BW,0,0,0.023,0.016,0,0,0,0,0,0.012,0,0.011,0,0.13,0.088,0.085,0.012,0.012,0.227,0,0,0,0,0.016,0.402,0.035,0.022,0,0,0,0,0,0.017,0,0.007,0.011,0.155,0.072,0.07,0.055,0.011,0.266,0,0,0,0,0.022,0.336
Ts 9s 3s,29.4953,30.2847,0.014352727,47.36,52.64,m,2BW+,0,0,0.09,0.355,0,0,0,0.065,0,0.009,0,0.016,0,0.134,0.132,0.127,0,0.012,0.193,0.109,0.059,0.199,0.036,0.061,0.204,0.143,0.373,0,0,0,0.064,0,0.017,0,0.017,0.045,0.111,0.125,0.099,0,0.011,0.252,0.112,0.048,0.226,0.037,0.062,0.148
7s 4s 4d,30.3103,30.8327,0.009498182,46.92,53.08,tt,Rags,1,0,0.068,0.099,0,0.002,0.01,0,0,0,0.044,0,0.012,0.101,0,0.024,0.024,0,0.222,0.17,0.009,0.064,0.003,0.023,0.391,0.115,0.092,0,0,0.009,0,0,0,0.031,0,0.075,0.069,0,0.021,0.021,0,0.285,0.171,0.008,0.061,0.005,0.018,0.316
Tc 6d 4s,30.4669,30.9893,0.009498182,47.68,52.32,r,1BW,0,0,0.023,0.11,0,0,0,0,0,0.012,0,0.011,0,0.141,0.083,0.075,0.025,0.026,0.198,0.143,0,0,0.043,0.067,0.288,0.069,0.073,0,0.002,0,0,0,0.016,0,0.007,0.044,0.126,0.058,0.058,0.033,0.022,0.263,0.146,0,0,0.029,0.044,0.225
Qd 6s 4s,31.8985,32.0363,0.002505455,46.3,53.7,tt,1BW,0,0,0.025,0.135,0,0,0,0,0,0.012,0,0.013,0,0.112,0.082,0.074,0.024,0.024,0.224,0.147,0.013,0.059,0.011,0.052,0.287,0.049,0.1,0,0,0,0,0,0.017,0,0.01,0.022,0.138,0.058,0.057,0.055,0.022,0.264,0.147,0.007,0.064,0.011,0.018,0.21
As 8d 4s,31.822,32.2248,0.007323636,44.67,55.33,tt,A8-,0,0,0.043,0.136,0,0,0,0,0,0.009,0,0.034,0,0.175,0.113,0.091,0.006,0.025,0,0.153,0.01,0.071,0,0.055,0.393,0.054,0.094,0,0,0,0,0,0.018,0,0.036,0,0.234,0.11,0.066,0.058,0.023,0,0.163,0.008,0.063,0,0.023,0.292
Ts 9d 4s,30.9637,31.734,0.014005455,46.71,53.29,tt,2BW+,0,0,0.032,0.233,0,0,0,0,0,0.009,0,0.023,0,0.127,0.0132,0.112,0,0.025,0.201,0.122,0.012,0.066,0.06,0.095,0.25,0.079,0.221,0,0,0,0,0,0.017,0,0.017,0.045,0.112,0.125,0.099,0,0.022,0.27,0.127,0.017,0.057,0.057,0.09,0.166
Qc Jd 4s,33.4595,33.4801,0.000374545,45.06,54.94,r,2BW+,0,0,0.03,0.175,0,0,0,0,0,0.006,0,0.024,0,0.098,0.115,0.11,0,0.024,0.239,0.129,0,0,0.057,0.118,0.255,0.057,0.194,0,0,0,0,0,0.017,0,0.018,0.022,0.124,0.111,0.12,0,0.022,0.27,0.127,0,0,0.06,0.134,0.168
Ks Qs 4s,29.7294,30.6797,0.017278182,45.81,54.19,m,2BW+,0,0,0.088,0.349,0,0,0,0.058,0,0.006,0,0.024,0,0.117,0.102,0.11,0,0.024,0.245,0,0.058,0.22,0.015,0.056,0.313,0.105,0.362,0,0,0,0.053,0,0.017,0,0.024,0.011,0.142,0.125,0.126,0,0.023,0.255,0,0.057,0.22,0.017,0.068,0.223
Qs 7s 5d,31.7344,31.9441,0.003812727,46.6,53.4,tt,1BW,0,0,0.025,0.128,0,0,0,0,0,0.012,0,0.013,0,0.113,0.098,0.084,0.012,0.037,0.226,0.151,0.01,0.063,0.009,0.046,0.254,0.052,0.118,0,0,0,0,0,0.017,0,0.013,0.022,0.135,0.066,0.063,0.044,0.033,0.266,0.148,0.01,0.055,0.011,0.042,0.194
5s 5d 4c,29.0583,30.2733,0.022090909,47.04,52.96,r,Rags,1,1,0.096,0.144,0,0.002,0.007,0,0,0,0.051,0,0.036,0,0.067,0.024,0,0,0.224,0.168,0,0,0.044,0.1,0.421,0.14,0.087,0,0,0.007,0,0,0,0.037,0,0.096,0,0.046,0.021,0,0,0.285,0.171,0,0,0.009,0.078,0.335
9c 6d 5s,26.9459,28.5458,0.029089091,48.02,51.98,r,1BW,0,0,0.054,0.289,0,0,0,0,0.029,0.015,0,0.01,0,0.14,0.085,0.074,0.018,0.037,0.197,0.142,0,0,0.025,0.264,0.253,0.096,0.258,0,0.002,0,0,0.014,0.017,0,0.008,0.055,0.138,0.059,0.055,0.022,0.033,0.265,0.147,0,0,0.015,0.243,0.185
8d 6s 5s,29.4902,30.3105,0.014914545,47.77,52.23,tt,Rags,0,0,0.045,0.458,0,0,0,0,0.014,0.015,0,0.01,0.006,0.122,0.086,0.073,0.012,0.037,0.196,0.141,0.035,0.034,0.127,0.262,0.287,0.11,0.387,0,0,0,0,0.015,0.016,0,0.013,0.066,0.116,0.058,0.051,0.011,0.033,0.263,0.146,0.029,0.04,0.085,0.233,0.211
Kd 8s 5s,31.85,32.065,0.003909091,45.41,54.59,tt,1BW,0,0,0.037,0.125,0,0,0,0,0,0.009,0,0.028,0,0.112,0.105,0.095,0.006,0.037,0.228,0,0.008,0.067,0.028,0.022,0.38,0.054,0.099,0,0,0,0,0,0.017,0,0.026,0.011,0.141,0.102,0.075,0.045,0.034,0.272,0,0.009,0.061,0.006,0.023,0.275
Ac Td 5s,32.5086,32.9509,0.008041818,44.6,55.4,r,A9+,0,0,0.044,0.108,0,0,0,0,0,0.006,0,0.038,0,0.177,0.13,0.095,0,0.038,0,0.156,0,0,0,0.108,0.359,0.053,0.102,0,0,0,0,0,0.018,0,0.035,0,0.235,0.117,0.09,0.035,0.035,0,0.164,0,0,0,0.102,0.271
